,Home Team Initials,Away Team Initials,Weight,Home Goal Total
609,URU,COL,1,
610,URU,CRC,1,
611,URU,DEN,1,
612,URU,ENG,2,
613,URU,ESP,2,
614,URU,FRA,2,
615,URU,FRG,1,
616,URU,GER,1,
617,URU,GHA,1,
618,URU,ISR,1,
619,URU,ITA,1,
620,URU,KOR,1,
621,URU,MEX,1,
622,URU,NED,2,
623,URU,PER,1,
624,URU,ROU,1,
625,URU,SCO,1,
626,URU,SWE,1,
627,URU,TCH,1,
628,URU,URS,1,
629,URU,YUG,1,
630,USA,ALG,1,
631,USA,BEL,1,
632,USA,COL,1,
633,USA,CZE,1,
634,USA,ENG,1,
635,USA,GER,1,
636,USA,GHA,1,
637,USA,IRN,1,
638,USA,PAR,1,
639,USA,POR,2,
640,USA,ROU,1,
641,USA,SUI,1,
642,USA,TCH,1,
643,USA,YUG,1,
644,WAL,HUN,1,
645,YUG,ARG,1,
646,YUG,BOL,1,
647,YUG,BRA,1,
648,YUG,COL,2,
649,YUG,FRA,2,
650,YUG,FRG,2,
651,YUG,IRN,1,
652,YUG,MEX,1,
653,YUG,NIR,1,
654,YUG,SCO,1,
655,YUG,SUI,1,
656,YUG,UAE,1,
657,YUG,URU,1,
658,YUG,ZAI,1,
659,ZAI,BRA,1,
660,ZAI,SCO,1,
